tag,ruling,last_election,election_frequency,elections_allowed,research_slots,tech_tier,social_democracy,social_liberalism,liberal_conservatism,progressive_populism,national_populism,sovereign_democracy,military_junta,absolute_monarchy,state_socialism,left_wing_nationalism,islamic_democracy,theocratic_absolutism,jihadist_fundamentalism,democratic_confederalism,fascism,communism,technocracy,anarcho_communism
ECU,liberal_conservatism,2025.4.13,48,1,2,0,14,11,45,0,17,0,0,0,0,0,0,0,0,0,6,7,0,0
ELS,national_populism,2024.1.1,48,1,2,0,15,13,21,0,35,0,0,0,0,0,0,0,0,0,9,7,0,0
ETH,sovereign_democracy,2024.1.1,48,0,2,0,12,0,28,0,10,18,4,0,0,22,0,0,0,0,0,6,0,0
GUA,liberal_conservatism,2024.1.1,48,1,2,0,14,11,45,0,18,0,0,0,0,0,0,0,0,0,6,6,0,0
HON,progressive_populism,2024.1.1,48,1,2,0,11,8,14,40,15,0,0,0,0,0,0,0,0,0,6,6,0,0
IRQ,islamic_democracy,2021.10.10,48,1,3,1,9,6,12,0,24,0,0,0,0,0,35,0,0,0,8,6,0,0
JAP,liberal_conservatism,2024.10.27,48,1,4,3,22,12,48,8,6,0,0,0,0,0,0,0,0,0,0,4,0,0
KOR,social_democracy,2025.6.3,60,1,4,2,40,8,32,4,14,0,0,0,0,0,0,0,0,0,0,2,0,0
LIB,liberal_conservatism,2024.1.1,48,1,1,0,15,12,45,0,16,0,0,0,0,0,0,0,0,0,5,7,0,0
MEX,progressive_populism,2024.6.2,72,1,3,1,10,6,24,42,16,0,0,0,0,0,0,0,0,0,0,2,0,0
MEN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NEP,social_democracy,2022.11.20,60,1,2,0,40,11,18,0,12,0,0,0,0,0,0,0,0,0,0,19,0,0
NIC,left_wing_nationalism,2021.11.7,60,0,2,0,3,0,4,0,0,0,0,0,0,90,0,0,0,0,0,3,0,0
NZL,liberal_conservatism,2023.10.14,36,1,3,1,12,10,70,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
PAN,liberal_conservatism,2024.1.1,48,1,2,0,13,11,55,0,12,0,0,0,0,0,0,0,0,0,5,4,0,0
PER,theocratic_absolutism,2024.7.5,48,1,3,1,0,0,10,0,6,2,0,0,0,8,18,52,0,0,0,4,0,0
PHI,liberal_conservatism,2022.5.9,72,1,3,1,16,12,48,0,16,0,0,0,0,0,0,0,0,0,4,4,0,0
PRU,liberal_conservatism,2021.6.6,60,1,3,0,14,11,40,0,20,0,0,0,0,0,0,0,0,0,5,10,0,0
SAF,social_democracy,2024.5.29,60,1,3,1,48,9,16,0,12,0,0,0,0,0,0,0,0,0,5,10,0,0
SAU,absolute_monarchy,2024.1.1,48,0,3,2,0,0,2,0,4,0,0,88,0,0,6,0,0,0,0,0,0,0
SIA,progressive_populism,2023.5.14,48,1,3,1,10,8,13,35,23,0,0,0,0,0,0,0,0,0,8,3,0,0
SIK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TIB,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
URG,social_democracy,2024.10.27,60,1,2,0,70,7,13,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0
VEN,left_wing_nationalism,2024.7.28,72,0,2,0,10,0,22,0,8,0,4,0,0,48,0,0,0,0,0,8,0,0
YUN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
USA,national_populism,2024.11.5,48,1,5,3,2,28,8,14,47,0,0,0,0,0,0,0,0,0,0,1,0,0
MON,liberal_conservatism,2024.6.28,48,1,2,0,15,13,50,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0
TAN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PAR,liberal_conservatism,2023.4.30,60,1,2,0,13,10,50,0,17,0,0,0,0,0,0,0,0,0,6,4,0,0
CUB,state_socialism,2023.3.26,60,0,2,0,5,0,5,0,0,0,0,0,80,0,0,0,0,0,0,10,0,0
DOM,liberal_conservatism,2024.1.1,48,1,2,0,13,11,55,0,12,0,0,0,0,0,0,0,0,0,5,4,0,0
HAI,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
YEM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
OMA,absolute_monarchy,2024.1.1,48,0,2,1,0,0,6,0,0,2,0,82,0,0,10,0,0,0,0,0,0,0
SLO,national_populism,2023.9.30,48,1,2,0,15,12,20,0,40,0,0,0,0,0,0,0,0,0,7,6,0,0
RAJ,national_populism,2024.6.4,60,1,4,2,22,8,14,0,42,0,0,0,0,6,3,0,0,0,0,5,0,0
CRO,liberal_conservatism,2024.4.17,48,1,2,0,12,10,58,0,12,0,0,0,0,0,0,0,0,0,5,3,0,0
GXC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PRC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SHX,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
XSM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ICE,social_democracy,2024.11.30,48,1,2,0,75,7,12,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
LEB,sovereign_democracy,2022.5.15,48,1,2,0,5,0,7,0,0,86,0,0,0,0,0,0,0,0,0,2,0,0
JOR,absolute_monarchy,2024.9.10,48,0,2,0,3,0,10,0,5,0,0,70,0,0,12,0,0,0,0,0,0,0
SYR,jihadist_fundamentalism,2024.1.1,48,0,2,0,0,0,8,0,0,12,16,0,0,6,18,0,40,0,0,0,0,0
EGY,military_junta,2023.12.10,72,0,3,1,4,0,8,0,6,0,62,0,0,4,14,0,0,0,0,2,0,0
LBA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
WGR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
DDR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PAL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,87,0,0,0,0,0,0,0,0,0,3,0,0
ISR,national_populism,2022.11.1,48,1,4,2,12,16,22,6,38,0,0,0,0,0,0,0,0,0,4,2,0,0
VIN,state_socialism,2021.5.23,60,0,3,1,6,0,8,0,3,0,0,0,78,0,0,0,0,0,0,5,0,0
CAM,sovereign_democracy,2023.7.23,60,0,2,0,4,0,6,0,0,85,0,0,0,0,0,0,0,0,0,5,0,0
MAL,islamic_democracy,2022.11.19,60,1,3,1,11,9,14,0,9,0,0,0,0,0,50,0,0,0,4,3,0,0
INS,liberal_conservatism,2024.2.14,60,1,3,1,12,10,38,2,18,0,0,0,0,0,16,0,0,0,0,4,0,0
LAO,state_socialism,2021.2.21,60,0,1,0,3,0,4,0,0,0,0,0,83,0,0,0,0,0,0,10,0,0
MNT,liberal_conservatism,2023.6.11,48,1,1,0,14,10,52,0,15,0,0,0,0,0,0,0,0,0,5,4,0,0
UKR,social_liberalism,2019.4.21,60,1,3,1,16,28,18,0,24,8,0,0,0,0,0,0,0,0,2,4,0,0
GEO,sovereign_democracy,2024.10.26,48,1,2,0,5,0,7,0,0,86,0,0,0,0,0,0,0,0,0,2,0,0
KAZ,sovereign_democracy,2022.11.20,84,0,3,1,8,0,10,0,6,72,0,0,0,0,0,0,0,0,0,4,0,0
AZR,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ARM,social_liberalism,2021.6.20,60,1,2,0,15,45,21,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0
BLR,sovereign_democracy,2025.1.26,60,0,2,1,6,0,8,0,4,70,0,0,0,0,0,0,0,0,0,12,0,0
ANG,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,87,0,0,0,0,0,0,0,0,0,3,0,0
MZB,social_democracy,2024.1.1,48,1,2,0,40,10,17,0,16,0,0,0,0,0,0,0,0,0,4,13,0,0
ZIM,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,85,0,0,0,0,0,0,0,0,0,5,0,0
COG,social_liberalism,2024.1.1,48,1,2,0,10,35,14,0,24,0,0,0,0,0,0,0,0,0,7,10,0,0
KEN,liberal_conservatism,2022.8.9,60,1,2,0,15,12,50,0,15,0,0,0,0,0,0,0,0,0,3,5,0,0
PAK,islamic_democracy,2024.2.8,60,1,3,1,8,0,16,0,12,0,22,0,0,5,34,0,3,0,0,0,0,0
BOT,liberal_conservatism,2024.1.1,48,1,1,0,14,11,60,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0
MAN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BAH,social_liberalism,2024.1.1,48,1,1,0,13,60,17,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0
BAN,liberal_conservatism,2024.1.7,60,1,3,1,19,15,40,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0
BLZ,social_liberalism,2024.1.1,48,1,1,0,12,55,17,0,9,0,0,0,0,0,0,0,0,0,4,3,0,0
BRM,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,87,0,0,0,0,0,0,0,0,3,0,0
CRC,social_liberalism,2024.1.1,48,0,1,0,12,55,17,0,9,0,0,0,0,0,0,0,0,0,4,3,0,0
GDL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GYA,social_democracy,2024.1.1,48,1,2,0,50,11,17,0,13,0,0,0,0,0,0,0,0,0,4,5,0,0
JAM,liberal_conservatism,2024.1.1,48,1,2,0,13,11,55,0,12,0,0,0,0,0,0,0,0,0,4,5,0,0
JAN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KYR,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MAD,liberal_conservatism,2024.1.1,48,1,1,0,14,11,40,0,20,0,0,0,0,0,0,0,0,0,7,8,0,0
MOL,social_liberalism,2024.10.20,48,1,2,0,14,48,18,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0
PNG,liberal_conservatism,2024.1.1,48,1,2,0,15,13,45,0,17,0,0,0,0,0,0,0,0,0,5,5,0,0
PUE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
QAT,absolute_monarchy,2024.1.1,48,0,3,1,0,0,10,0,0,0,0,84,0,0,4,0,0,0,0,0,2,0
SCO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SRL,social_democracy,2024.9.21,60,1,2,0,50,11,18,0,11,0,0,0,0,0,0,0,0,0,4,6,0,0
SUR,liberal_conservatism,2024.1.1,48,1,1,0,14,11,50,0,14,0,0,0,0,0,0,0,0,0,4,7,0,0
TAJ,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TRI,liberal_conservatism,2024.1.1,48,1,2,0,14,11,50,0,14,0,0,0,0,0,0,0,0,0,4,7,0,0
TMS,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
UAE,absolute_monarchy,2024.1.1,48,0,3,2,0,0,8,0,0,0,0,86,0,0,2,0,0,0,0,0,4,0
UZB,sovereign_democracy,2023.7.9,84,0,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KUW,absolute_monarchy,2024.4.4,48,0,2,1,0,0,10,0,4,0,0,80,0,0,6,0,0,0,0,0,0,0
CYP,liberal_conservatism,2023.2.12,60,1,2,0,12,10,60,0,10,0,0,0,0,0,0,0,0,0,3,5,0,0
MLT,social_democracy,2022.3.26,60,1,2,0,65,9,14,0,7,0,0,0,0,0,0,0,0,0,3,2,0,0
ALG,sovereign_democracy,2024.9.7,60,1,3,1,4,0,6,0,0,87,0,0,0,0,0,0,0,0,0,3,0,0
MOR,absolute_monarchy,2021.9.8,60,0,2,1,6,0,14,0,4,0,0,62,0,2,12,0,0,0,0,0,0,0
TUN,sovereign_democracy,2024.10.6,60,1,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SUD,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
ERI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,87,0,0,0,0,0,0,0,0,0,3,0,0
DJI,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SOM,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
UGA,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RWA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BRD,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,87,0,0,0,0,0,0,0,0,3,0,0
TZN,social_democracy,2024.1.1,48,1,2,0,40,12,21,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0
ZAM,social_liberalism,2024.1.1,48,1,2,0,12,50,16,0,12,0,0,0,0,0,0,0,0,0,4,6,0,0
MLW,liberal_conservatism,2024.1.1,48,1,1,0,14,11,50,0,14,0,0,0,0,0,0,0,0,0,4,7,0,0
GAB,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
RCG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,87,0,0,0,0,0,0,0,0,0,3,0,0
EQG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CMR,sovereign_democracy,2024.1.1,48,0,2,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CAR,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,87,0,0,0,0,0,0,0,0,3,0,0
CHA,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
NGA,liberal_conservatism,2023.2.25,48,1,3,1,18,0,34,12,16,0,6,0,0,0,10,0,0,0,0,4,0,0
DAH,social_liberalism,2024.1.1,48,1,2,0,12,50,17,0,12,0,0,0,0,0,0,0,0,0,4,5,0,0
TOG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GHA,social_democracy,2024.12.7,48,1,2,0,55,11,18,0,10,0,0,0,0,0,0,0,0,0,2,4,0,0
IVO,liberal_conservatism,2024.1.1,48,1,2,0,15,12,45,0,16,0,0,0,0,0,0,0,0,0,5,7,0,0
VOL,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
MLI,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SIE,liberal_conservatism,2024.1.1,48,1,1,0,15,12,45,0,16,0,0,0,0,0,0,0,0,0,4,8,0,0
GNA,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
GNB,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SEN,progressive_populism,2024.3.24,60,1,2,0,10,8,14,55,7,0,0,0,0,0,0,0,0,0,0,6,0,0
GAM,liberal_conservatism,2024.1.1,48,1,1,0,14,12,50,0,14,0,0,0,0,0,0,0,0,0,4,6,0,0
WLS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NGR,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
CSA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
USB,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MRT,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
NMB,social_democracy,2024.1.1,48,1,1,0,50,11,19,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0
WES,left_wing_nationalism,2024.1.1,48,0,1,0,3,0,4,0,0,0,0,0,0,90,0,0,0,0,0,3,0,0
BAS,social_liberalism,2024.1.1,48,0,1,0,12,55,17,0,9,0,0,0,0,0,0,0,0,0,4,3,0,0
CAY,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MLD,liberal_conservatism,2024.1.1,48,1,1,0,15,13,50,0,13,0,0,0,0,0,0,0,0,0,4,5,0,0
FIJ,liberal_conservatism,2024.1.1,48,1,1,0,15,12,50,0,15,0,0,0,0,0,0,0,0,0,3,5,0,0
FSM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TAH,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GUM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SOL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SAM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
HAW,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SLV,social_liberalism,2022.4.24,48,1,2,0,10,65,13,0,7,0,0,0,0,0,0,0,0,0,3,2,0,0
BOS,liberal_conservatism,2022.10.2,48,1,2,0,15,12,40,0,21,0,0,0,0,0,0,0,0,0,5,7,0,0
HRZ,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MAC,liberal_conservatism,2024.5.8,48,1,1,0,13,11,50,0,16,0,0,0,0,0,0,0,0,0,6,4,0,0
NIR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BAY,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MEK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PRE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SAX,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
HAN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
WUR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SHL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CAT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NAV,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GLC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ADU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BRI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
OCC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
COR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KUR,liberal_conservatism,2024.1.1,48,0,1,0,13,11,55,0,12,0,0,0,0,0,0,0,0,0,5,4,0,0
TRA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
DNZ,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SIL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KSH,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
DON,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KUB,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BUK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ALT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KAL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KAR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
