tag,debt,treasury
NGA,145.4000,5.8160
DAH,13.5300,1.0000
TOG,8.3300,1.0000
GHA,97.0700,2.2840
IVO,57.8840,1.9960
VOL,15.1800,1.0000
MLI,15.0500,1.0000
SIE,6.0000,1.0000
GNA,11.3200,1.0000
GNB,2.0000,1.0000
SEN,29.6000,1.0000
GAM,2.0800,1.0000
WLS,0.0000,1.0000
NGR,10.8000,1.0000
CSA,0.0000,1.0000
USB,0.0000,1.0000
MRT,5.2650,1.0000
NMB,10.5700,1.0000
WES,0.5000,1.0000
BAS,0.0000,1.0000
CAY,0.0000,1.0000
MLD,5.3900,1.0000
FIJ,4.9600,1.0000
FSM,0.0500,1.0000
TAH,0.0000,1.0000
GUM,0.0000,1.0000
SOL,0.0500,1.0000
SAM,0.0500,1.0000
HAW,0.0000,1.0000
SLV,55.7200,1.5920
BOS,11.4100,1.0000
HRZ,0.0000,1.0000
MAC,10.5050,1.0000
NIR,0.0000,1.0000
BAY,0.0000,1.0000
MEK,0.0000,1.0000
PRE,0.0000,1.0000
SAX,0.0000,1.0000
HAN,0.0000,1.0000
WUR,0.0000,1.0000
SHL,0.0000,1.0000
CAT,0.0000,1.0000
NAV,0.0000,1.0000
GLC,0.0000,1.0000
ADU,0.0000,1.0000
BRI,0.0000,1.0000
OCC,0.0000,1.0000
COR,0.0000,1.0000
KUR,11.2000,1.0000
TRA,0.0000,1.0000
DNZ,0.0000,1.0000
SIL,0.0000,1.0000
KSH,0.0000,1.0000
DON,0.0000,1.0000
KUB,0.0000,1.0000
BUK,0.0000,1.0000
ALT,0.0000,1.0000
KAL,0.0000,1.0000
KAR,0.0000,1.0000
CRI,0.0000,1.0000
TAT,0.0000,1.0000
CIN,0.0000,1.0000
DAG,0.0000,1.0000
BYA,0.0000,1.0000
CKK,0.0000,1.0000
FER,0.0000,1.0000
YAK,0.0000,1.0000
VLA,0.0000,1.0000
KKP,0.0000,1.0000
YAM,0.0000,1.0000
TAY,0.0000,1.0000
OVO,0.0000,1.0000
NEN,0.0000,1.0000
KOM,0.0000,1.0000
ABK,0.2400,1.0000
KBK,0.0000,1.0000
NOA,0.0000,1.0000
VGE,0.0000,1.0000
BSK,0.0000,1.0000
KHI,0.0000,1.0000
UDM,0.0000,1.0000
CHU,0.0000,1.0000
MEL,0.0000,1.0000
RIF,0.0000,1.0000
HAR,0.0000,1.0000
TIG,0.0000,1.0000
AFA,0.0000,1.0000
BEG,0.0000,1.0000
GBA,0.0000,1.0000
SID,0.0000,1.0000
ORO,0.0000,1.0000
QEM,0.0000,1.0000
KHA,0.0000,1.0000
AOI,0.0000,1.0000
LBV,0.0000,1.0000
PAP,0.0000,1.0000
TOS,0.0000,1.0000
SPM,0.0000,1.0000
TTS,0.0000,1.0000
SMI,0.0000,1.0000
GRN,0.6600,1.0000
RAP,0.0000,1.0000
YUC,0.0000,1.0000
RIG,0.0000,1.0000
QUE,0.0000,1.0000
KAT,0.0000,1.0000
BIA,0.0000,1.0000
WLA,0.0000,1.0000
CBV,2.4800,1.0000
BAR,0.0000,1.0000
EVE,0.0000,1.0000
SOK,0.0000,1.0000
THU,0.0000,1.0000
HES,0.0000,1.0000
RHI,0.0000,1.0000
UBD,0.0000,1.0000
KOS,2.5000,1.0000
RKB,0.0000,1.0000
RKN,0.0000,1.0000
RKG,0.0000,1.0000
RKU,0.0000,1.0000
RKO,0.0000,1.0000
RKK,0.0000,1.0000
RKT,0.0000,1.0000
RKM,0.0000,1.0000
RKL,0.0000,1.0000
GEN,0.0000,1.0000
RKH,0.0000,1.0000
RKI,0.0000,1.0000
RKC,0.0000,1.0000
RGB,0.0000,1.0000
RKA,0.0000,1.0000
RNA,0.0000,1.0000
RKV,0.0000,1.0000
RAN,0.0000,1.0000
RCO,0.0000,1.0000
RUS,0.0000,1.0000
RHD,0.0000,1.0000
RAR,0.0000,1.0000
ROA,0.0000,1.0000
RAA,0.0000,1.0000
GAR,0.0000,1.0000
INC,0.0000,1.0000
MIS,0.0000,1.0000
MAY,0.0000,1.0000
INU,0.0000,1.0000
CHR,0.0000,1.0000
ITZ,0.0000,1.0000
NAH,0.0000,1.0000
IAS,0.0000,1.0000
DIP,0.0000,1.0000
PSH,0.0000,1.0000
HYD,0.0000,1.0000
MYS,0.0000,1.0000
RJP,0.0000,1.0000
CIP,0.0000,1.0000
RAS,0.0000,1.0000
NWF,0.0000,1.0000
KAS,0.0000,1.0000
MPU,0.0000,1.0000
WIS,0.0000,1.0000
KOL,0.0000,1.0000
KHL,0.0000,1.0000
SIN,0.0000,1.0000
KLT,0.0000,1.0000
SKK,0.0000,1.0000
FSA,0.0000,1.0000
ASY,0.0000,1.0000
BHR,14.7000,1.0000
IMO,0.0000,1.0000
BLC,0.0000,1.0000
EZO,0.0000,1.0000
OKN,0.0000,1.0000
ANU,0.0000,1.0000
PLU,0.0500,1.0000
FOR,237.0000,15.8000
TML,0.2850,1.0000
CHM,0.0000,1.0000
SNG,241.5600,108.7020
SAR,0.0000,1.0000
SAB,0.0000,1.0000
BRN,0.4500,1.0000
WPG,0.0000,1.0000
KUM,0.0000,1.0000
GSM,0.0000,1.0000
GDC,0.0000,1.0000
KHM,0.0000,1.0000
NXM,0.0000,1.0000
SND,0.0000,1.0000
SIC,0.0000,1.0000
XIC,0.0000,1.0000
RNG,0.0000,1.0000
PSR,0.0000,1.0000
HBC,0.0000,1.0000
SDL,0.0000,1.0000
RUT,0.0000,1.0000
GAL,0.0000,1.0000
BLI,0.0000,1.0000
ATJ,0.0000,1.0000
SSI,0.0000,1.0000
POK,0.0000,1.0000
GOW,0.0000,1.0000
TNE,0.0000,1.0000
BOU,0.0000,1.0000
VAN,0.0500,1.0000
CPS,0.0000,1.0000
DPK,7.2000,1.0000
SSD,7.2000,1.0000
KIR,0.0600,1.0000
TUV,0.0100,1.0000
NAU,0.1000,1.0000
MHL,0.1200,1.0000
MAU,12.9600,1.0000
COM,0.9000,1.0000
STP,0.8000,1.0000
SEY,1.6800,1.0000
SML,1.2000,1.0000
NCY,2.4000,1.0000
HAM,0.8000,1.0000
HEZ,0.5000,1.0000
HOU,3.0000,1.0000
YNR,0.3200,1.0000
NUG,3.2000,1.0000
ATG,1.8400,1.0000
DMA,0.5600,1.0000
STL,1.8900,1.0000
SVG,1.0400,1.0000
GND,0.9800,1.0000
BRB,8.8000,1.0000
PMR,0.4800,1.0000
ROJ,2.4000,1.0000
STC,2.0000,1.0000
DRZ,0.4000,1.0000
SNA,0.4000,1.0000
PNT,1.2000,1.0000
JUB,0.4000,1.0000
SHB,0.2000,1.0000
M23,0.6000,1.0000
SOE,0.0200,1.0000
NRF,0.0100,1.0000
LES,1.5600,1.0000
SWZ,1.0400,1.0000
LNA,24.3000,1.0000
RSF,6.0000,1.0000
SIO,0.5000,1.0000
AZA,0.2000,1.0000
IG1,0.0000,1.0000
IG2,0.0000,1.0000
IG3,0.0000,1.0000
IG4,0.0000,1.0000
