tag,ideas
ATG,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
ATJ,
AUS,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_4 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_3 dd_media_3 dd_civil_military_4 limited_conscription export_focus civilian_economy
AZA,dd_welfare_1 dd_education_2 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_1 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_1 dd_media_3 dd_civil_military_3 limited_conscription closed_economy war_economy
AZR,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
BAH,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
BAN,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
BAR,
BAS,
BAY,
BEG,
BEL,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_4 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only free_trade civilian_economy
BHR,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_3 dd_security_5 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
BHU,dd_welfare_3 dd_education_4 dd_immigration_1 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
BIA,
BLC,
BLI,
BLR,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_3 dd_labor_4 dd_fertility_2 dd_aid_1 dd_religion_4 dd_media_2 dd_civil_military_2 limited_conscription limited_exports partial_economic_mobilisation
BLZ,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
BOL,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_4 dd_investment_4 dd_security_3 dd_healthcare_3 dd_labor_4 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
BOS,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
BOT,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
BOU,
BRA,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_2 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
BRB,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
BRD,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
BRI,
BRM,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_1 dd_investment_3 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports war_economy
BRN,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
BSK,
BUK,
BUL,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
BYA,
CAM,dd_welfare_2 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_4 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
CAN,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_3 dd_women_4 dd_minority_4 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_4 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
CAR,dd_welfare_1 dd_education_2 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_2 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription limited_exports war_economy
CAT,
CAY,
CBV,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription free_trade civilian_economy
CHA,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus partial_economic_mobilisation
CHI,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_1 dd_investment_5 dd_security_5 dd_healthcare_3 dd_labor_5 dd_fertility_2 dd_aid_3 dd_religion_4 dd_media_2 dd_civil_military_1 limited_conscription limited_exports civilian_economy
CHL,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_2 dd_women_4 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_4 dd_civil_military_3 limited_conscription export_focus civilian_economy
CHM,
CHR,
CHU,
CIN,
CIP,
CKK,
CMR,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
COG,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription export_focus war_economy
COL,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
COM,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_2 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
COR,
COS,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_4 dd_minority_3 dd_investment_3 dd_security_2 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
CPS,
CRC,
CRI,
CRO,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 limited_conscription export_focus civilian_economy
CSA,
CUB,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_5 dd_security_5 dd_healthcare_4 dd_labor_5 dd_fertility_4 dd_aid_1 dd_religion_4 dd_media_1 dd_civil_military_2 limited_conscription closed_economy partial_economic_mobilisation
CYP,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 limited_conscription export_focus civilian_economy
CZE,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
DAG,
DAH,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
DDR,
DEN,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_4 dd_women_4 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_4 limited_conscription export_focus civilian_economy
DIP,
DJI,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_2 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only free_trade civilian_economy
DMA,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
DNZ,
DOM,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
DON,
DPK,dd_welfare_1 dd_education_2 dd_immigration_1 dd_taxes_4 dd_women_2 dd_minority_1 dd_investment_5 dd_security_5 dd_healthcare_1 dd_labor_1 dd_fertility_2 dd_aid_1 dd_religion_5 dd_media_1 dd_civil_military_2 extensive_conscription closed_economy partial_economic_mobilisation
DRZ,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription limited_exports war_economy
ECU,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
EGY,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_2 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus partial_economic_mobilisation
ELS,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_5 dd_healthcare_3 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
ENG,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_4 dd_religion_2 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
EQG,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_1 dd_civil_military_2 volunteer_only export_focus civilian_economy
ERI,dd_welfare_1 dd_education_3 dd_immigration_1 dd_taxes_3 dd_women_2 dd_minority_1 dd_investment_5 dd_security_5 dd_healthcare_1 dd_labor_1 dd_fertility_2 dd_aid_1 dd_religion_4 dd_media_1 dd_civil_military_5 extensive_conscription closed_economy partial_economic_mobilisation
EST,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_4 dd_civil_military_4 limited_conscription export_focus early_mobilization
ETH,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus partial_economic_mobilisation
EVE,
EZO,
FER,
FIJ,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
FIN,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_4 dd_women_4 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_4 limited_conscription export_focus early_mobilization
FOR,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_4 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_4 dd_civil_military_3 limited_conscription export_focus early_mobilization
FRA,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_4 dd_women_4 dd_minority_3 dd_investment_4 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
FSA,
FSM,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
GAB,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
GAL,
GAM,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
GAR,
GBA,
GDC,
GDL,
GEN,
GEO,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus early_mobilization
GER,dd_welfare_4 dd_education_5 dd_immigration_4 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
GHA,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
GLC,
GNA,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only export_focus partial_economic_mobilisation
GNB,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription free_trade civilian_economy
GND,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
GOW,
GRE,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_4 limited_conscription export_focus civilian_economy
GRN,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_4 dd_minority_4 dd_investment_3 dd_security_2 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only free_trade civilian_economy
GSM,
GUA,dd_welfare_2 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
GUM,
GXC,
GYA,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
HAI,dd_welfare_1 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_1 dd_security_1 dd_healthcare_1 dd_labor_2 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_4 dd_civil_military_3 volunteer_only free_trade partial_economic_mobilisation
HAM,dd_welfare_1 dd_education_2 dd_immigration_1 dd_taxes_2 dd_women_1 dd_minority_1 dd_investment_2 dd_security_5 dd_healthcare_1 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_1 dd_media_2 dd_civil_military_2 extensive_conscription closed_economy war_economy
HAN,
HAR,
HAW,
HBC,
HES,
HEZ,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_1 dd_minority_2 dd_investment_3 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_1 dd_media_2 dd_civil_military_2 extensive_conscription closed_economy war_economy
HOL,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_3 dd_women_4 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_4 dd_aid_4 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only free_trade civilian_economy
HON,dd_welfare_2 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
HOU,dd_welfare_1 dd_education_2 dd_immigration_1 dd_taxes_2 dd_women_1 dd_minority_1 dd_investment_2 dd_security_5 dd_healthcare_1 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_1 dd_media_2 dd_civil_military_2 extensive_conscription closed_economy war_economy
HRZ,
HUN,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_4 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
HYD,
IAS,
ICE,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_4 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only free_trade civilian_economy
IG1,
IG2,
IG3,
IG4,
IMO,
INC,
INS,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
INU,
IRE,dd_welfare_3 dd_education_4 dd_immigration_4 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_3 dd_religion_3 dd_media_4 dd_civil_military_4 volunteer_only free_trade civilian_economy
IRQ,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_1 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
ISR,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_2 dd_media_4 dd_civil_military_1 extensive_conscription export_focus war_economy
ITA,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_4 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
ITZ,
IVO,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
JAM,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
JAN,
JAP,dd_welfare_4 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_4 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_2 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
JOR,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_2 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
