tag,vanilla_file_name,doomsday_name,tag_source,status,states_owned
COL,Colombia,Colombia,vanilla,on_map,3
COM,Comoros,Comoros,doomsday_new,on_map,1
COR,Corsica,Corsica,vanilla,releasable_or_dead,0
COS,Costa Rica,Costa Rica,vanilla,on_map,1
CPS,Champasak,Champasak,vanilla,releasable_or_dead,0
CRC,Curacao,Curacao,vanilla,stub_in_sheet,0
CRI,Crimea,Crimea,vanilla,releasable_or_dead,0
CRO,Croatia,Croatia,vanilla,on_map,4
CSA,CSA,CSA,vanilla,releasable_or_dead,0
CUB,Cuba,Cuba,vanilla,on_map,1
CYP,Cyprus,Cyprus,vanilla,on_map,1
CZE,Czechoslovakia,Czechia,vanilla,on_map,6
D01,D01,D01,dynamic,civil_war_temp,0
D02,D02,D02,dynamic,civil_war_temp,0
D03,D03,D03,dynamic,civil_war_temp,0
D04,D04,D04,dynamic,civil_war_temp,0
D05,D05,D05,dynamic,civil_war_temp,0
D06,D06,D06,dynamic,civil_war_temp,0
D07,D07,D07,dynamic,civil_war_temp,0
D08,D08,D08,dynamic,civil_war_temp,0
D09,D09,D09,dynamic,civil_war_temp,0
D10,D10,D10,dynamic,civil_war_temp,0
D11,D11,D11,dynamic,civil_war_temp,0
D12,D12,D12,dynamic,civil_war_temp,0
D13,D13,D13,dynamic,civil_war_temp,0
D14,D14,D14,dynamic,civil_war_temp,0
D15,D15,D15,dynamic,civil_war_temp,0
D16,D01,D01,dynamic,civil_war_temp,0
D17,D02,D02,dynamic,civil_war_temp,0
D18,D03,D03,dynamic,civil_war_temp,0
D19,D04,D04,dynamic,civil_war_temp,0
D20,D05,D05,dynamic,civil_war_temp,0
D21,D01,D01,dynamic,civil_war_temp,0
D22,D02,D02,dynamic,civil_war_temp,0
D23,D03,D03,dynamic,civil_war_temp,0
D24,D04,D04,dynamic,civil_war_temp,0
D25,D05,D05,dynamic,civil_war_temp,0
D26,D06,D06,dynamic,civil_war_temp,0
D27,D07,D07,dynamic,civil_war_temp,0
D28,D08,D08,dynamic,civil_war_temp,0
D29,D09,D09,dynamic,civil_war_temp,0
D30,D05,D05,dynamic,civil_war_temp,0
D31,D01,D01,dynamic,civil_war_temp,0
D32,D02,D02,dynamic,civil_war_temp,0
D33,D03,D03,dynamic,civil_war_temp,0
D34,D04,D04,dynamic,civil_war_temp,0
D35,D05,D05,dynamic,civil_war_temp,0
D36,D06,D06,dynamic,civil_war_temp,0
D37,D07,D07,dynamic,civil_war_temp,0
D38,D08,D08,dynamic,civil_war_temp,0
D39,D09,D09,dynamic,civil_war_temp,0
D40,D05,D05,dynamic,civil_war_temp,0
D41,D01,D01,dynamic,civil_war_temp,0
D42,D02,D02,dynamic,civil_war_temp,0
D43,D03,D03,dynamic,civil_war_temp,0
D44,D04,D04,dynamic,civil_war_temp,0
D45,D05,D05,dynamic,civil_war_temp,0
D46,D06,D06,dynamic,civil_war_temp,0
D47,D07,D07,dynamic,civil_war_temp,0
D48,D08,D08,dynamic,civil_war_temp,0
D49,D09,D09,dynamic,civil_war_temp,0
D50,D09,D09,dynamic,civil_war_temp,0
D51,D51,D51,dynamic,civil_war_temp,0
D52,D52,D52,dynamic,civil_war_temp,0
D53,D53,D53,dynamic,civil_war_temp,0
D54,D54,D54,dynamic,civil_war_temp,0
D55,D55,D55,dynamic,civil_war_temp,0
D56,D56,D56,dynamic,civil_war_temp,0
D57,D57,D57,dynamic,civil_war_temp,0
D58,D58,D58,dynamic,civil_war_temp,0
D59,D59,D59,dynamic,civil_war_temp,0
D60,D60,D60,dynamic,civil_war_temp,0
D61,D61,D61,dynamic,civil_war_temp,0
D62,D62,D62,dynamic,civil_war_temp,0
D63,D63,D63,dynamic,civil_war_temp,0
D64,D64,D64,dynamic,civil_war_temp,0
D65,D65,D65,dynamic,civil_war_temp,0
D66,D66,D66,dynamic,civil_war_temp,0
D67,D67,D67,dynamic,civil_war_temp,0
D68,D68,D68,dynamic,civil_war_temp,0
D69,D69,D69,dynamic,civil_war_temp,0
D70,D70,D70,dynamic,civil_war_temp,0
D71,D71,D71,dynamic,civil_war_temp,0
D72,D72,D72,dynamic,civil_war_temp,0
D73,D73,D73,dynamic,civil_war_temp,0
D74,D74,D74,dynamic,civil_war_temp,0
D75,D75,D75,dynamic,civil_war_temp,0
DAG,Dagestan,Dagestan,vanilla,releasable_or_dead,0
DAH,Dahomey,Benin,vanilla,on_map,1
DDR,East Germany,East Germany,vanilla,releasable_or_dead,0
DEN,Denmark,Denmark,vanilla,on_map,6
DIP,Partisans,Partisans,vanilla,releasable_or_dead,0
DJI,Djibouti,Djibouti,vanilla,on_map,1
DMA,Dominica,Dominica,doomsday_new,on_map,1
DNZ,Danzig,Danzig,vanilla,releasable_or_dead,0
DOM,Dominican Republic,Dominican Republic,vanilla,on_map,1
DON,Don Republic,Don Republic,vanilla,releasable_or_dead,0
DPK,North Korea,North Korea,doomsday_new,on_map,2
DRZ,Suwayda,Suwayda,doomsday_new,on_map,1
ECU,Ecuador,Ecuador,vanilla,on_map,2
EGY,Egypt,Egypt,vanilla,on_map,8
ELS,El Salvador,El Salvador,vanilla,on_map,1
ENG,United Kingdom,United Kingdom,vanilla,on_map,28
EQG,Equatorial Guinea,Equatorial Guinea,vanilla,on_map,1
ERI,Eritrea,Eritrea,vanilla,on_map,1
EST,Estonia,Estonia,vanilla,on_map,5
ETH,Ethiopia,Ethiopia,vanilla,on_map,11
EVE,Evenkia,Evenkia,vanilla,releasable_or_dead,0
EZO,Ezo Republic,Ezo Republic,vanilla,releasable_or_dead,0
FER,Fareastern Republic,Fareastern Republic,vanilla,releasable_or_dead,0
FIJ,Fiji,Fiji,vanilla,on_map,1
FIN,Finland,Finland,vanilla,on_map,10
FOR,Formosa,Taiwan,vanilla,on_map,1
FRA,France,France,vanilla,on_map,35
FSA,Federation of South Arabia,Federation of South Arabia,vanilla,releasable_or_dead,0
FSM,Micronesia,Micronesia,vanilla,on_map,1
GAB,Gabon,Gabon,vanilla,on_map,1
GAL,Galicia and Lodomeria,Galicia and Lodomeria,vanilla,releasable_or_dead,0
GAM,Gambia,Gambia,vanilla,on_map,1
GAR,Guarani,Guarani,vanilla,releasable_or_dead,0
GBA,Gambela,Gambela,vanilla,releasable_or_dead,0
GDC,Guangdong,Guangdong,vanilla,releasable_or_dead,0
GDL,Guadeloupe,Guadeloupe,vanilla,releasable_or_dead,0
GEN,Generalgouvernement,Generalgouvernement,vanilla,releasable_or_dead,0
GEO,Georgia,Georgia,vanilla,on_map,1
GER,Germany,Germany,vanilla,on_map,18
GHA,Ghana,Ghana,vanilla,on_map,1
GLC,Galicia,Galicia,vanilla,releasable_or_dead,0
GNA,Guinea,Guinea,vanilla,on_map,1
GNB,Guinea-Bissau,Guinea-Bissau,vanilla,on_map,1
GND,Grenada,Grenada,doomsday_new,on_map,1
GOW,Gowa,Gowa,vanilla,releasable_or_dead,0
GRE,Greece,Greece,vanilla,on_map,8
GRN,Greenland,Greenland,vanilla,on_map,1
GSM,Gansu Ma,Gansu Ma,vanilla,releasable_or_dead,0
GUA,Guatemla,Guatemala,vanilla,on_map,1
GUM,Guam,Guam,vanilla,releasable_or_dead,0
GXC,Guangxi,Guangxi,vanilla,releasable_or_dead,0
GYA,Guyana,Guyana,vanilla,on_map,1
HAI,Haiti,Haiti,vanilla,on_map,1
HAM,Hamas,Hamas,doomsday_new,on_map,1
HAN,Hanover,Hanover,vanilla,releasable_or_dead,0
HAR,Harar,Harar,vanilla,releasable_or_dead,0
HAW,Hawaii,Hawaii,vanilla,releasable_or_dead,0
HBC,Hebei-Chahar,Hebei-Chahar,vanilla,releasable_or_dead,0
HES,Hesse,Hesse,vanilla,releasable_or_dead,0
HEZ,Hezbollah,Hezbollah,doomsday_new,on_map,1
HOL,Holland,Netherlands,vanilla,on_map,4
HON,Honduras,Honduras,vanilla,on_map,1
HOU,Houthis,Houthis,doomsday_new,on_map,1
HRZ,Herzegovina,Herzegovina,vanilla,releasable_or_dead,0
HUN,Hungary,Hungary,vanilla,on_map,5
HYD,Hyderabad,Hyderabad,vanilla,releasable_or_dead,0
IAS,Isthmo Amerindia,Isthmo Amerindia,vanilla,releasable_or_dead,0
ICE,Iceland,Iceland,vanilla,on_map,1
IMO,Omani Imamate,Omani Imamate,vanilla,releasable_or_dead,0
INC,Inca,Inca,vanilla,releasable_or_dead,0
INS,Indonesia,Indonesia,vanilla,on_map,21
INU,Inuit,Inuit,vanilla,releasable_or_dead,0
IRE,Ireland,Ireland,vanilla,on_map,3
IRQ,Iraq,Iraq,vanilla,on_map,6
ISR,Israel,Israel,vanilla,on_map,2
ITA,Italy,Italy,vanilla,on_map,14
ITZ,Itza,Itza,vanilla,releasable_or_dead,0
IVO,Ivory Coast,Ivory Coast,vanilla,on_map,1
JAM,Jamaica,Jamaica,vanilla,on_map,1
JAN,Jan Mayen,Jan Mayen,vanilla,releasable_or_dead,0
JAP,Japan,Japan,vanilla,on_map,16
JNM,JNIM,JNIM,doomsday_new,on_map,2
JOR,Jordan,Jordan,vanilla,on_map,1
JUB,Jubaland,Jubaland,doomsday_new,on_map,1
KAL,Kalmykia,Kalmykia,vanilla,releasable_or_dead,0
KAR,Karelia,Karelia,vanilla,releasable_or_dead,0
KAS,Kashmir,Kashmir,vanilla,releasable_or_dead,0
KAT,Katanga,Katanga,vanilla,releasable_or_dead,0
KAZ,Kazakhstan,Kazakhstan,vanilla,on_map,12
KBK,Kabardino Balkaria,Kabardino Balkaria,vanilla,releasable_or_dead,0
KEN,Kenya,Kenya,vanilla,on_map,4
KHA,Khakassia,Khakassia,vanilla,releasable_or_dead,0
KHI,Khiva,Khiva,vanilla,releasable_or_dead,0
KHL,Khalistan,Khalistan,vanilla,releasable_or_dead,0
KHM,Khotan Ma,Khotan Ma,vanilla,releasable_or_dead,0
KIR,Kiribati,Kiribati,doomsday_new,on_map,3
KKP,Karakalpakstan,Karakalpakstan,vanilla,releasable_or_dead,0
KLT,Kalat,Kalat,vanilla,releasable_or_dead,0
KOL,Kolhapur and Deccan States,Kolhapur and Deccan States,vanilla,releasable_or_dead,0
KOM,Komi,Komi,vanilla,releasable_or_dead,0
KOR,Korea,South Korea,vanilla,on_map,4
KOS,Kosovo,Kosovo,vanilla,on_map,1
KSH,Kashubia,Kashubia,vanilla,releasable_or_dead,0
KUB,Kuban Republic,Kuban Republic,vanilla,releasable_or_dead,0
KUM,Kumul Khanate,Kumul Khanate,vanilla,releasable_or_dead,0
KUR,Kurdistan,Kurdistan Region,vanilla,stub_in_sheet,0
KUW,Kuwait,Kuwait,vanilla,on_map,1
KYR,Kyrgyzstan,Kyrgyzstan,vanilla,on_map,1
LAO,Laos,Laos,vanilla,on_map,3
LAT,Latvia,Latvia,vanilla,on_map,5
LBA,Libya,Government of National Unity,vanilla,on_map,2
LBV,Lombardy Venetia,Lombardy Venetia,vanilla,releasable_or_dead,0
LEB,Lebanon,Lebanon,vanilla,on_map,1
LES,Lesotho,Lesotho,doomsday_new,on_map,1
LIB,Liberia,Liberia,vanilla,on_map,1
LIT,Lithuania,Lithuania,vanilla,on_map,6
LNA,Libyan National Army,Libyan National Army,doomsday_new,on_map,6
LUX,Luxemburg,Luxembourg,vanilla,on_map,1
M23,M23,M23,doomsday_new,on_map,1
MAC,Macedonia,North Macedonia,vanilla,on_map,2
MAD,Madagascar,Madagascar,vanilla,on_map,1
MAL,Malaysia,Malaysia,vanilla,on_map,10
MAN,Manchukou,Manchukou,vanilla,releasable_or_dead,0
MAU,Mauritius,Mauritius,doomsday_new,on_map,1
MAY,Maya,Maya,vanilla,releasable_or_dead,0
MEK,Mecklenburg,Mecklenburg,vanilla,releasable_or_dead,0
MEL,Mariel,Mariel,vanilla,releasable_or_dead,0
MEN,Mengkukuo,Mengkukuo,vanilla,releasable_or_dead,0
MEX,Mexico,Mexico,vanilla,on_map,13
MHL,Marshall Islands,Marshall Islands,doomsday_new,on_map,1
MIS,Miskito,Miskito,vanilla,releasable_or_dead,0
MLD,Maldives,Maldives,vanilla,on_map,1
MLI,Mali,Mali,vanilla,on_map,2
MLT,Malta,Malta,vanilla,on_map,1
MLW,Malawi,Malawi,vanilla,on_map,1
MNT,Montenegro,Montenegro,vanilla,on_map,1
MOL,Moldova,Moldova,vanilla,on_map,1
MON,Mongolia,Mongolia,vanilla,on_map,5
MOR,Morocco,Morocco,vanilla,on_map,5
MPU,Manipur,Manipur,vanilla,releasable_or_dead,0
MRT,Mauritania,Mauritania,vanilla,on_map,2
MYS,Mysore,Mysore,vanilla,releasable_or_dead,0
MZB,Mozambique,Mozambique,vanilla,on_map,3
NAH,Nahua,Nahua,vanilla,releasable_or_dead,0
NAU,Nauru,Nauru,doomsday_new,on_map,1
NAV,Navarra,Navarra,vanilla,releasable_or_dead,0
NCY,Northern Cyprus,Northern Cyprus,doomsday_new,on_map,1
NEN,Nenetsia,Nenetsia,vanilla,releasable_or_dead,0
NEP,Nepal,Nepal,vanilla,on_map,1
NGA,Nigeria,Nigeria,vanilla,on_map,4
NGR,Niger,Niger,vanilla,on_map,2
NIC,Nicaragua,Nicaragua,vanilla,on_map,1
NIR,Northern Ireland,Northern Ireland,vanilla,releasable_or_dead,0
NMB,Namibia,Namibia,vanilla,on_map,4
NOA,North Ossetia,North Ossetia,vanilla,releasable_or_dead,0
NOR,Norway,Norway,vanilla,on_map,10
NRF,National Resistance Front,National Resistance Front,doomsday_new,on_map,1
NUG,Myanmar Spring Revolution,Myanmar Spring Revolution,doomsday_new,on_map,4
NWF,North Western Frontier States,North Western Frontier States,vanilla,releasable_or_dead,0
NXM,Ningxia Ma,Ningxia Ma,vanilla,releasable_or_dead,0
NZL,New Zealand,New Zealand,vanilla,on_map,5
OCC,Occitania,Occitania,vanilla,releasable_or_dead,0
OKN,Okinawa,Okinawa,vanilla,releasable_or_dead,0
OMA,Oman,Oman,vanilla,on_map,4
ORO,Oromo,Oromo,vanilla,releasable_or_dead,0
OVO,Ostyak Vogulia,Ostyak Vogulia,vanilla,releasable_or_dead,0
PAK,Pakistan,Pakistan,vanilla,on_map,10
PAL,Palestine,Palestine,vanilla,on_map,1
PAN,Panama,Panama,vanilla,on_map,2
PAP,Papal States,Papal States,vanilla,releasable_or_dead,0
PAR,Paraguay,Paraguay,vanilla,on_map,2
PER,Persia,Iran,vanilla,on_map,17
PHI,Philippines,Philippines,vanilla,on_map,10
PLU,Palau,Palau,vanilla,on_map,1
PMR,Transnistria,Transnistria,doomsday_new,on_map,1
PNG,Papua New Guinea,Papua New Guinea,vanilla,on_map,5
PNT,Puntland,Puntland,doomsday_new,on_map,1
POK,Pontianak,Pontianak,vanilla,releasable_or_dead,0
POL,Poland,Poland,vanilla,on_map,16
POR,Portugal,Portugal,vanilla,on_map,7
PRC,ComChina,ComChina,vanilla,releasable_or_dead,0
PRE,Prussia,Prussia,vanilla,releasable_or_dead,0
PRU,Peru,Peru,vanilla,on_map,6
PSH,Pashtunistan,Pashtunistan,vanilla,releasable_or_dead,0
PSR,Philippine Second Republic,Philippine Second Republic,vanilla,releasable_or_dead,0
PUE,Puerto Rico,Puerto Rico,vanilla,releasable_or_dead,0
QAT,Qatar,Qatar,vanilla,on_map,1
QEM,Qemant,Qemant,vanilla,releasable_or_dead,0
QUE,Quebec,Quebec,vanilla,releasable_or_dead,0
RAA,Reichskommisariat Australasien,Reichskommisariat Australasien,vanilla,releasable_or_dead,0
RAJ,British Raj,India,vanilla,on_map,27
RAN,Reichskommisariat Anden,Reichskommisariat Anden,vanilla,releasable_or_dead,0
RAP,Rapa Nui,Rapa Nui,vanilla,releasable_or_dead,0
RAR,Reichskommisariat Arabien,Reichskommisariat Arabien,vanilla,releasable_or_dead,0
RAS,Madras States,Madras States,vanilla,releasable_or_dead,0
RCG,Republic of Congo,Republic of the Congo,vanilla,on_map,1
RCO,Reichskommisariat Kolumbus,Reichskommisariat Kolumbus,vanilla,releasable_or_dead,0
RGB,Reichskommisariat Grossbritannien,Reichskommisariat Grossbritannien,vanilla,releasable_or_dead,0
RHD,Reichskommisariat Grosshindustan,Reichskommisariat Grosshindustan,vanilla,releasable_or_dead,0
RHI,Rhineland,Rhineland,vanilla,releasable_or_dead,0
RIF,Rif,Rif,vanilla,releasable_or_dead,0
RIG,Rio Grande,Rio Grande,vanilla,releasable_or_dead,0
RJP,Rajputana,Rajputana,vanilla,releasable_or_dead,0
RKA,Reichskommisariat Mittelafrika,Reichskommisariat Mittelafrika,vanilla,releasable_or_dead,0
RKB,Reichskommisariat Belgien,Reichskommisariat Belgien,vanilla,releasable_or_dead,0
RKC,Reichskommisariat Balkan,Reichskommisariat Balkan,vanilla,releasable_or_dead,0
RKG,Reichskommisariat Norwegen,Reichskommisariat Norwegen,vanilla,releasable_or_dead,0
RKH,Bohmen Mahren,Bohmen Mahren,vanilla,releasable_or_dead,0
RKI,Reichskommisariat Iberien,Reichskommisariat Iberien,vanilla,releasable_or_dead,0
RKK,Reichskommisariat Kaukasien,Reichskommisariat Kaukasien,vanilla,releasable_or_dead,0
RKL,Reichskommisariat Urals,Reichskommisariat Urals,vanilla,releasable_or_dead,0
RKM,Reichskommisariat Moskowien,Reichskommisariat Moskowien,vanilla,releasable_or_dead,0
RKN,Reichskommisariat Niederlande,Reichskommisariat Niederlande,vanilla,releasable_or_dead,0
RKO,Reichskommisariat Ostland,Reichskommisariat Ostland,vanilla,releasable_or_dead,0
RKT,Reichskommisariat Turkestan,Reichskommisariat Turkestan,vanilla,releasable_or_dead,0
RKU,Reichskommisariat Ukraine,Reichskommisariat Ukraine,vanilla,releasable_or_dead,0
RKV,Reichskommisariat Klein Venedig,Reichskommisariat Klein Venedig,vanilla,releasable_or_dead,0
RNA,Reichskommisariat Nordafrika,Reichskommisariat Nordafrika,vanilla,releasable_or_dead,0
RNG,Reorganized National Government,Reorganized National Government,vanilla,releasable_or_dead,0
ROA,Reichskommisariat Ostasien,Reichskommisariat Ostasien,vanilla,releasable_or_dead,0
ROJ,Rojava,Rojava,doomsday_new,on_map,1
ROM,Romania,Romania,vanilla,on_map,8
RSF,Rapid Support Forces,Rapid Support Forces,doomsday_new,on_map,2
RUS,Reichskommisariat Nordamerika,Reichskommisariat Nordamerika,vanilla,releasable_or_dead,0
RUT,Ruthenia,Ruthenia,vanilla,releasable_or_dead,0
RWA,Rwanda,Rwanda,vanilla,on_map,1
SAB,Sabah,Sabah,vanilla,releasable_or_dead,0
SAF,South Africa,South Africa,vanilla,on_map,3
SAM,Samoa,Samoa,vanilla,on_map,1
SAR,Sarawak,Sarawak,vanilla,releasable_or_dead,0
SAU,Saudi Arabia,Saudi Arabia,vanilla,on_map,9
SAX,Saxony,Saxony,vanilla,releasable_or_dead,0
SCO,Scotland,Scotland,vanilla,releasable_or_dead,0
SDL,Sudetenland,Sudetenland,vanilla,releasable_or_dead,0
SEN,Senegal,Senegal,vanilla,on_map,1
SER,Serbia,Serbia,vanilla,on_map,6
SEY,Seychelles,Seychelles,doomsday_new,on_map,1
SHB,Al-Shabaab,Al-Shabaab,doomsday_new,on_map,1
SHL,Schleswig-Holstein,Schleswig-Holstein,vanilla,releasable_or_dead,0
SHX,Shanxi,Shanxi,vanilla,releasable_or_dead,0
SIA,Siam,Thailand,vanilla,on_map,7
SIC,Sichuan,Sichuan,vanilla,releasable_or_dead,0
SID,Sidamo,Sidamo,vanilla,releasable_or_dead,0
SIE,Sierra Leone,Sierra Leone,vanilla,on_map,1
SIK,Sinkiang,Sinkiang,vanilla,releasable_or_dead,0
SIL,Silesia,Silesia,vanilla,releasable_or_dead,0
SIN,Sindh,Sindh,vanilla,releasable_or_dead,0
SKK,Sikkim,Sikkim,vanilla,releasable_or_dead,0
SLO,Slovakia,Slovakia,vanilla,on_map,3
SLV,Slovenia,Slovenia,vanilla,on_map,3
SMI,Sami,Sami,vanilla,releasable_or_dead,0
SML,Somaliland,Somaliland,doomsday_new,on_map,1
SNA,Syrian National Army,Syrian National Army,doomsday_new,on_map,1
SND,Shandong,Shandong,vanilla,releasable_or_dead,0
SNG,Singapore,Singapore,vanilla,on_map,1
SOE,South Ossetia,South Ossetia,doomsday_new,on_map,1
SOK,Sokoto,Sokoto,vanilla,releasable_or_dead,0
SOL,Solomon,Solomon,vanilla,on_map,2
SOM,Somalia,Somalia,vanilla,on_map,1
SOV,Soviet Union,Russia,vanilla,on_map,111
SPM,Sardinia Piedmont,Sardinia Piedmont,vanilla,releasable_or_dead,0
SPR,Spain,Spain,vanilla,on_map,24
SRL,Sri Lanka,Sri Lanka,vanilla,on_map,1
SSD,South Sudan,South Sudan,doomsday_new,on_map,2
SSI,Siak,Siak,vanilla,releasable_or_dead,0
STC,Southern Transitional Council,Southern Transitional Council,doomsday_new,on_map,3
STL,Saint Lucia,Saint Lucia,doomsday_new,on_map,1
STP,Sao Tome,Sao Tome and Principe,doomsday_new,on_map,1
SUD,Sudan,Sudan,vanilla,on_map,4
SUR,Suriname,Suriname,vanilla,on_map,1
SVG,Saint Vincent,Saint Vincent and the Grenadines,doomsday_new,on_map,1
SWE,Sweden,Sweden,vanilla,on_map,14
SWI,Switzerland,Switzerland,vanilla,on_map,5
SWZ,Eswatini,Eswatini,doomsday_new,on_map,1
SYR,Syria,Syria,vanilla,on_map,3
TAH,Tahiti,Tahiti,vanilla,releasable_or_dead,0
TAJ,Tajikistan,Tajikistan,vanilla,on_map,1
TAN,Tannu Tuva,Tannu Tuva,vanilla,releasable_or_dead,0
TAT,Tatarstan,Tatarstan,vanilla,releasable_or_dead,0
TAY,Taymyria,Taymyria,vanilla,releasable_or_dead,0
THU,Thuringia,Thuringia,vanilla,releasable_or_dead,0
TIB,Tibet,Tibet,vanilla,releasable_or_dead,0
TIG,Tigray,Tigray,vanilla,releasable_or_dead,0
TML,Timor Leste,Timor-Leste,vanilla,on_map,1
TMS,Turkmenistan,Turkmenistan,vanilla,on_map,2
TNE,Ternate,Ternate,vanilla,releasable_or_dead,0
TOG,Togo,Togo,vanilla,on_map,1
TOS,Tuscany,Tuscany,vanilla,releasable_or_dead,0
TRA,Transylvania,Transylvania,vanilla,releasable_or_dead,0
TRI,Trinidad and Tobago,Trinidad and Tobago,vanilla,on_map,1
TTS,The Two Sicilies,The Two Sicilies,vanilla,releasable_or_dead,0
TUN,Tunisia,Tunisia,vanilla,on_map,2
TUR,Turkey,Turkey,vanilla,on_map,22
TUV,Tuvalu,Tuvalu,doomsday_new,on_map,1
TZN,Tanzania,Tanzania,vanilla,on_map,1
UAE,United Arab Emirates,United Arab Emirates,vanilla,on_map,1
UBD,United Baltic Duchy,United Baltic Duchy,vanilla,releasable_or_dead,0
UDM,Udmurtia,Udmurtia,vanilla,releasable_or_dead,0
UGA,Uganda,Uganda,vanilla,on_map,1
UKR,Ukraine,Ukraine,vanilla,on_map,27
URG,Uruguay,Uruguay,vanilla,on_map,3
USA,USA,United States,vanilla,on_map,54
USB,USB,USB,vanilla,releasable_or_dead,0
UZB,Uzbekistan,Uzbekistan,vanilla,on_map,5
VAN,Vanuatu,Vanuatu,vanilla,on_map,1
VEN,Venezula,Venezuela,vanilla,on_map,3
VGE,Volga Germany,Volga Germany,vanilla,releasable_or_dead,0
VIN,Vietnam,Vietnam,vanilla,on_map,4
VLA,Vladivostok,Vladivostok,vanilla,releasable_or_dead,0
VOL,Upper Volta,Burkina Faso,vanilla,on_map,1
WES,Western Sahara,Western Sahara,vanilla,stub_in_sheet,0
WGR,West Germany,West Germany,vanilla,releasable_or_dead,0
WIS,Western Indian States,Western Indian States,vanilla,releasable_or_dead,0
WLA,Welsh Argentina,Welsh Argentina,vanilla,releasable_or_dead,0
WLS,Wales,Wales,vanilla,releasable_or_dead,0
WPG,West Papua,West Papua,vanilla,releasable_or_dead,0
WUR,Wurtemberg,Wurtemberg,vanilla,releasable_or_dead,0
XIC,Xian,Xian,vanilla,releasable_or_dead,0
XSM,Xibei San Ma,Xibei San Ma,vanilla,releasable_or_dead,0
YAK,Yakutia,Yakutia,vanilla,releasable_or_dead,0
YAM,Yamalia,Yamalia,vanilla,releasable_or_dead,0
