tag,name,ideology,subideology,dem,com,fas,neu,gdp_b,debt_gdp,mva_b,sipri_b,wartime,pop,faction,capital,leader,elections,docks,infra,renewable_gw,ind_b,agr_b
GRE,Greece,democratic,conservatism,58,12,10,20,280.6,1.60,25.471,8.02,0,9897115,NATO,47,Kyriakos Mitsotakis,yes,0,4,15.000,42.714,10.020
CZE,Czechia,democratic,populism,55,8,12,25,391.0,0.45,75.947,6.52,0,10527781,NATO,9,Petr Fiala,yes,0,3,6.880,112.249,7.624
SLO,Slovakia,democratic,populism,40,8,12,40,154.5,0.58,25.025,2.85,0,5451342,NATO,70,Robert Fico,yes,0,3,3.000,43.428,2.462
HUN,Hungary,neutrality,oligarchism,28,6,16,50,246.5,0.75,37.328,4.73,0,9585818,NATO,43,Viktor Orban,yes,0,3,8.000,56.623,6.542
ROM,Romania,democratic,conservatism,50,8,12,30,428.7,0.52,50.688,8.72,0,18800605,NATO,46,Ilie Bolojan,yes,0,2,12.000,108.646,12.865
BUL,Bulgaria,democratic,conservatism,48,10,12,30,130.8,0.25,12,2.33,0,6667659,NATO,48,Rosen Zhelyazkov,yes,0,3,9.261,27.738,3.237
SER,Serbia,neutrality,oligarchism,25,10,15,50,100.0,0.55,11.429,2.32,0,6641964,,107,Aleksandar Vucic,yes,0,1,3.500,22.304,3.283
CRO,Croatia,democratic,conservatism,58,8,10,24,105.1,0.65,10.657,1.63,0,3822345,NATO,109,Andrej Plenkovic,yes,0,3,5.051,19.909,2.975
SLV,Slovenia,democratic,liberalism,65,8,8,19,79.6,0.70,14.818,0.95,0,2114573,NATO,102,Robert Golob,yes,0,4,2.000,22.570,1.302
BOS,Bosnia,democratic,conservatism,40,10,10,40,32.6,0.35,3.921,0.22,0,3114242,,104,Denis Becirovic,yes,0,2,2.799,7.022,1.420
MAC,North Macedonia,democratic,conservatism,50,8,10,32,19.1,0.55,2.736,0.35,0,1804063,NATO,106,Hristijan Mickoski,yes,0,3,0.800,4.602,1.142
ALB,Albania,democratic,conservatism,55,8,8,29,30.5,0.60,1.843,0.54,0,2751025,NATO,44,Edi Rama,yes,0,2,3.497,6.667,4.519
MNT,Montenegro,democratic,conservatism,52,8,10,30,9.2,0.70,0.276,0.15,0,626233,NATO,105,Milojko Spajic,yes,0,2,0.800,1.039,0.311
KOS,Kosovo,democratic,conservatism,55,5,8,32,12.5,0.20,1.562,0.17,0,1666992,,802,Albin Kurti,yes,0,2,0.000,3.110,0.917
UKR,Ukraine,democratic,conservatism,45,8,7,40,214.2,0.90,17.821,64.70,1,39535849,,202,Volodymyr Zelenskyy,yes,0,1,18.000,38.285,16.223
BLR,Belarus,neutrality,despotism,5,25,5,65,93.4,0.40,19.152,1.49,0,8937018,CSTO,206,Alexander Lukashenko,no,0,2,0.586,29.497,6.444
EST,Estonia,democratic,liberalism,70,6,6,18,47.0,0.20,5.071,1.44,0,1331062,NATO,13,Kristen Michal,yes,0,4,2.684,9.280,0.775
LAT,Latvia,democratic,conservatism,65,8,8,19,48.6,0.45,4.856,1.43,0,1835935,NATO,12,Evika Silina,yes,0,3,2.000,9.084,1.949
LIT,Lithuania,democratic,conservatism,68,6,8,18,95.2,0.40,12.505,2.63,0,2797338,NATO,11,Gintautas Paluckas,yes,0,4,2.500,21.086,2.163
MOL,Moldova,democratic,liberalism,48,15,5,32,20.4,0.35,1.508,0.11,0,2496359,,78,Maia Sandu,yes,0,1,0.400,3.443,1.501
PMR,Transnistria,neutrality,oligarchism,15,20,10,55,1.2,0.40,0.15,0.05,0,464894,,834,Vadim Krasnoselsky,yes,0,2,0.000,,
GEO,Georgia,neutrality,oligarchism,30,8,8,54,38.1,0.40,3.046,0.62,0,3448176,,231,Irakli Kobakhidze,yes,0,1,3.500,7.096,1.976
ABK,Abkhazia,neutrality,oligarchism,12,10,8,70,0.8,0.30,0.05,0.05,0,300398,,826,Badra Gunba,yes,0,2,3.500,,
SOE,South Ossetia,neutrality,oligarchism,10,8,8,74,0.1,0.20,0.02,0.02,0,56068,,1101,Alan Gagloev,yes,0,2,3.500,,
ARM,Armenia,democratic,liberalism,45,8,5,42,29.2,0.50,3.214,1.42,0,2930915,,230,Nikol Pashinyan,yes,0,2,1.500,6.746,2.320
AZR,Azerbaijan,neutrality,despotism,8,5,7,80,75.9,0.18,4.541,3.78,0,10454855,,229,Ilham Aliyev,no,0,2,1.500,30.007,4.499
KAZ,Kazakhstan,neutrality,oligarchism,12,8,5,75,306.2,0.25,38.910,1.21,0,21083626,CSTO,404,Kassym-Jomart Tokayev,no,0,2,4.000,99.060,11.465
UZB,Uzbekistan,neutrality,despotism,8,10,5,77,147.0,0.35,30.542,1.44,0,37724223,,405,Shavkat Mirziyoyev,no,0,1,3.000,47.852,24.349
TMS,Turkmenistan,neutrality,despotism,2,5,3,90,49.8,0.10,1.399,0.11,0,7736632,,584,Serdar Berdimuhamedow,no,0,1,0.000,17.925,6.157
KYR,Kyrgyzstan,neutrality,oligarchism,20,10,5,65,22.6,0.50,3.099,0.47,0,7400465,CSTO,586,Sadyr Japarov,yes,0,1,0.000,5.986,1.810
TAJ,Tajikistan,neutrality,despotism,5,10,5,80,17.7,0.35,1.909,0.25,0,10978599,CSTO,742,Emomali Rahmon,no,0,2,0.000,4.680,3.326
MON,Mongolia,democratic,conservatism,50,15,5,30,25.4,0.80,1.490,0.18,0,3556798,,330,Khurelsukh Ukhnaa,yes,0,1,0.500,9.450,2.268
PAK,Pakistan,neutrality,despotism,25,8,10,57,407.3,0.75,53.035,10.17,0,259299791,,440,Shehbaz Sharif,yes,1,1,16.000,81.717,93.767
BAN,Bangladesh,democratic,conservatism,40,8,5,47,456.3,0.38,102.404,4.03,0,177818044,,430,Muhammad Yunus,yes,0,1,1.500,155.274,52.130
BRM,Myanmar,neutrality,despotism,8,12,15,65,81.7,0.60,20.498,5.01,1,37159495,,995,Min Aung Hlaing,no,0,1,4.000,29.563,20.661
NUG,Myanmar Spring Revolution,neutrality,despotism,25,15,10,50,8,0.40,1,0.4,1,18025324,,999,Duwa Lashi La,no,0,1,4.000,,
SIA,Thailand,neutrality,despotism,25,5,10,60,577.0,0.62,137.003,5.52,0,71559614,,289,Paetongtarn Shinawatra,yes,0,4,18.000,179.293,50.470
MAL,Malaysia,democratic,conservatism,50,8,6,36,472.2,0.66,104.334,4.31,0,36385115,,336,Anwar Ibrahim,yes,1,4,12.000,168.419,38.795
VIN,Vietnam,communism,marxism,8,80,2,10,514.7,0.37,126.245,5.50,0,102177431,,671,To Lam,no,1,3,55.000,193.779,59.931
PHI,Philippines,democratic,populism,48,6,8,38,487.1,0.60,74.672,6.12,0,117724471,,327,Ferdinand Marcos Jr,yes,0,3,10.000,131.463,41.849
SNG,Singapore,democratic,conservatism,40,5,5,50,603.9,0.00,105.252,15.06,0,5905748,,336,Lawrence Wong,yes,1,5,1.200,136.906,0.149
FOR,Taiwan,democratic,liberalism,62,4,6,28,790,0.30,160,20,0,23011292,,524,Lai Ching-te,yes,2,5,20.000,,
CAM,Cambodia,neutrality,despotism,10,20,5,65,51.3,0.35,14.879,0.72,0,18051219,,741,Hun Manet,no,0,1,2.000,22.115,8.259
LAO,Laos,communism,marxism,5,85,2,8,18.3,1.10,1.668,0.02,0,7974017,,670,Thongloun Sisoulith,no,0,1,9.000,5.339,3.042
NEP,Nepal,democratic,socialism,40,25,5,30,45.5,0.45,2.266,0.43,0,29629410,,323,K.P. Sharma Oli,yes,0,1,3.000,5.482,9.807
BHU,Bhutan,neutrality,moderatism,20,5,5,70,3.6,0.35,0.221,0.02,0,802214,,324,Tshering Tobgay,yes,0,1,0.000,1.187,0.490
SRL,Sri Lanka,democratic,conservatism,50,12,6,32,108.8,1.00,18.626,1.33,0,23348315,,422,Anura Kumara Dissanayake,yes,0,1,2.500,27.685,9.100
AFG,Afghanistan,neutrality,despotism,2,5,8,85,17.8,0.10,1.497,0.28,1,44867038,,267,Hibatullah Akhundzada,no,0,1,0.400,2.582,6.097
NRF,National Resistance Front,democratic,liberalism,55,10,5,30,0.05,0.20,0.02,0.1,1,180031,,1109,Ahmad Massoud,no,0,1,0.400,,
PER,Iran,neutrality,despotism,8,6,16,70,362.7,0.30,97.859,7.89,0,93168497,,266,Masoud Pezeshkian,yes,0,1,14.000,143.770,38.424
IRQ,Iraq,neutrality,oligarchism,20,8,12,60,254.4,0.50,10.166,6.18,0,41463620,,291,Mohammed Shia al-Sudani,yes,0,1,2.500,115.459,8.683
KUR,Kurdistan Region,democratic,conservatism,55,8,8,29,28,0.40,3,0.8,0,6543817,,1099,Masrour Barzani,yes,0,3,2.500,,
SYR,Syria,neutrality,despotism,10,10,15,65,23.7,1.50,1.5,2.49,1,22881206,,677,Ahmed al-Sharaa,no,0,1,0.000,2.835,10.172
ROJ,Rojava,democratic,socialism,50,20,5,25,4,0.60,0.4,0.3,1,2853938,,1100,Mazloum Abdi,yes,0,2,0.000,,
DRZ,Suwayda,neutrality,despotism,15,5,10,70,1,0.40,0.1,0.1,1,381435,,1103,Hikmat al-Hijri,no,0,1,0.000,,
SNA,Syrian National Army,neutrality,despotism,10,5,20,65,1,0.40,0.1,0.3,1,355918,,1104,Fadlallah al-Hajji,no,0,1,0.000,,
LEB,Lebanon,neutrality,oligarchism,30,10,15,45,26.0,1.80,0.330,0.64,0,4663600,,553,Joseph Aoun,yes,0,2,0.400,0.684,0.271
HEZ,Hezbollah,neutrality,despotism,8,15,20,57,1,0.50,0.2,0.8,1,1233867,,1089,Naim Qassem,no,0,1,0.400,,
JOR,Jordan,neutrality,despotism,15,5,8,72,61.6,0.90,10.703,2.56,0,11589532,,455,Abdullah II,no,0,2,2.500,16.863,3.427
ISR,Israel,democratic,conservatism,48,4,18,30,610.8,0.68,60.965,46.51,1,9647689,,454,Benjamin Netanyahu,yes,0,4,5.000,93.409,6.969
PAL,Palestine,neutrality,despotism,20,15,10,55,8,0.50,0.5,0.05,0,3453009,,1086,Mahmoud Abbas,no,0,1,0.000,,
HAM,Hamas,neutrality,despotism,5,10,25,60,1,0.80,0.1,0.3,1,2239781,,1085,Khalil al-Hayya,no,0,1,0.000,,
EGY,Egypt,neutrality,despotism,12,8,10,70,365.3,0.95,52.958,2.40,0,120101175,,446,Abdel Fattah el-Sisi,no,1,3,12.000,117.091,60.457
LBA,Government of National Unity,neutrality,despotism,20,5,10,65,18,1.40,1.2,1.0,0,4833164,,448,Abdul Hamid Dbeibeh,no,0,2,0.200,,
LNA,Libyan National Army,neutrality,despotism,8,4,18,70,27,0.90,0.8,2.0,0,2706687,,450,Khalifa Haftar,no,0,2,0.200,,
TUN,Tunisia,neutrality,despotism,20,10,10,60,57.5,0.80,7.606,1.31,0,12415138,,458,Kais Saied,yes,0,1,0.800,12.627,5.919
ALG,Algeria,neutrality,despotism,15,12,8,65,287.0,0.50,25.463,21.81,0,48028334,,459,Abdelmadjid Tebboune,yes,0,1,1.000,99.884,41.654
MOR,Morocco,neutrality,despotism,20,8,8,64,182.4,0.70,27.232,5.52,0,38762441,,461,Mohammed VI,no,0,1,5.000,46.041,19.235
WES,Western Sahara,neutrality,despotism,10,25,5,60,1,0.50,0.1,0.05,0,610813,,699,Brahim Ghali,no,0,1,0.000,,
SAF,South Africa,democratic,socialism,48,20,8,24,427.2,0.75,52.349,2.84,0,65453084,,275,Cyril Ramaphosa,yes,0,4,12.000,102.909,12.079
LES,Lesotho,neutrality,moderatism,20,5,5,70,2.6,0.60,0.289,0.04,0,2389336,,1110,Letsie III,no,0,1,0.000,0.647,0.167
SWZ,Eswatini,neutrality,despotism,5,5,10,80,5.2,0.20,1.448,0.08,0,1269859,,1111,Mswati III,no,0,2,0.000,1.733,0.331
NGA,Nigeria,democratic,conservatism,40,8,10,42,290.8,0.50,24.012,1.13,0,242431832,,558,Bola Tinubu,yes,0,1,3.000,47.817,66.822
ETH,Ethiopia,neutrality,despotism,15,15,10,60,126.4,0.40,5.310,0.92,0,138902185,,271,Abiy Ahmed,yes,0,1,8.000,35.082,41.469
KEN,Kenya,democratic,conservatism,50,8,8,34,135.9,0.70,9.683,1.23,0,58636412,,547,William Ruto,yes,0,2,3.500,22.121,31.484
GHA,Ghana,democratic,liberalism,55,8,6,31,114.2,0.85,11.543,0.27,0,35697557,,274,John Mahama,yes,0,1,2.000,33.410,24.299
COG,DR Congo,neutrality,despotism,15,12,10,63,91.0,0.20,7.187,0.90,1,113945875,,295,Felix Tshisekedi,yes,0,1,3.000,36.144,8.129
M23,M23,neutrality,despotism,10,8,15,67,2,0.30,0.2,0.4,1,2506287,,1107,Corneille Nangaa,no,0,1,3.000,,
ANG,Angola,neutrality,oligarchism,18,15,7,60,122.2,0.70,8.299,0.92,0,40215179,,540,Joao Lourenco,yes,0,1,4.000,33.070,30.838
MZB,Mozambique,democratic,socialism,40,20,8,32,22.3,1.00,1.383,0.45,0,36639851,,544,Daniel Chapo,yes,0,1,2.500,4.933,5.712
ZIM,Zimbabwe,neutrality,despotism,15,20,8,57,51.2,0.90,7.635,0.10,0,17273580,,545,Emmerson Mnangagwa,yes,0,1,2.000,18.983,4.851
SUD,Sudan,neutrality,despotism,8,10,15,67,60.2,2.00,2.650,0.38,1,43134983,,551,Abdel Fattah al-Burhan,no,0,1,2.000,20.245,17.662
RSF,Rapid Support Forces,neutrality,despotism,5,5,15,75,4,1.50,0.4,1.0,1,10147736,,887,Mohamed Hamdan Dagalo,no,0,1,2.000,,
SSD,South Sudan,neutrality,despotism,10,8,12,70,12.0,0.60,0.424,2.03,1,9403466,,884,Salva Kiir,no,0,1,0.000,3.971,1.242
SIO,SPLM-IO,neutrality,despotism,8,5,15,72,1,0.50,0.1,0.3,1,3032571,,1121,Riek Machar,no,0,1,0.000,,
SOM,Somalia,neutrality,despotism,15,5,15,65,13.0,0.40,0.041,0.20,1,4966159,,559,Hassan Sheikh Mohamud,yes,0,1,0.000,0.089,0.575
SML,Somaliland,democratic,conservatism,50,8,8,34,4,0.30,0.4,0.1,0,6168277,,269,Abdirahman Mohamed Abdullahi,yes,0,1,0.000,,
PNT,Puntland,neutrality,despotism,25,5,10,60,3,0.40,0.2,0.15,0,4483960,,1105,Said Abdullahi Deni,yes,0,1,0.000,,
JUB,Jubaland,neutrality,despotism,20,5,15,60,1,0.40,0.1,0.1,1,1196665,,844,Ahmed Madobe,no,0,1,0.000,,
SHB,Al-Shabaab,neutrality,despotism,5,5,25,65,1,0.20,0.1,0.3,1,3490847,,1106,Ahmed Diriye,no,0,1,0.000,,
UGA,Uganda,neutrality,despotism,20,10,8,62,62.0,0.50,8.972,1.12,0,52761469,,548,Yoweri Museveni,yes,0,1,1.500,15.045,16.198
TZN,Tanzania,democratic,socialism,40,15,5,40,90.1,0.45,6.637,0.92,0,72563780,,546,Samia Suluhu Hassan,yes,0,2,2.000,26.852,20.651
RWA,Rwanda,neutrality,despotism,15,10,5,70,16.4,0.70,1.362,0.18,0,14889693,,768,Paul Kagame,yes,0,2,0.000,3.609,3.324
SEN,Senegal,democratic,liberalism,55,10,5,30,37.0,0.80,4.886,0.51,0,19366548,,272,Bassirou Diomaye Faye,yes,0,1,0.800,9.676,6.322
IVO,Ivory Coast,democratic,conservatism,45,10,8,37,99.8,0.58,12.259,0.66,0,33494346,,776,Alassane Ouattara,yes,0,2,1.200,23.874,16.726
CMR,Cameroon,neutrality,despotism,15,10,8,67,58.9,0.45,8.585,0.53,0,30640817,,773,Paul Biya,yes,0,1,1.000,14.600,9.928
MLI,Mali,neutrality,despotism,8,8,12,72,30.1,0.50,2.243,0.93,1,21905624,,556,Assimi Goita,no,0,1,0.400,7.022,9.929
AZA,Azawad,neutrality,despotism,8,5,20,67,1,0.20,0.1,0.3,1,4026651,,782,Bilal Ag Acherif,no,0,1,0.400,,
NGR,Niger,neutrality,despotism,10,8,10,72,21.6,0.50,1.379,0.44,0,28814878,,781,Abdourahamane Tchiani,no,0,1,0.000,4.052,10.301
CHA,Chad,neutrality,despotism,10,8,12,70,21.5,0.45,1.256,0.56,0,21560380,,774,Mahamat Deby,no,0,1,0.000,5.742,7.803
ARG,Argentina,democratic,populism,45,12,10,33,683.1,1.55,92.790,4.18,0,46003734,,278,Javier Milei,yes,0,2,18.000,156.252,37.793
CHL,Chile,democratic,socialism,55,15,8,22,357.4,0.40,31.997,5.11,0,19945850,,279,Gabriel Boric,yes,1,2,22.000,112.299,12.340
COL,Colombia,democratic,liberalism,48,15,10,27,457.4,0.55,45.262,15.10,0,53936226,,306,Gustavo Petro,yes,0,2,14.000,99.534,45.493
PRU,Peru,democratic,conservatism,40,15,10,35,334.9,0.35,35.714,2.57,0,34922148,,303,Dina Boluarte,yes,1,2,8.000,100.122,21.797
VEN,Venezuela,neutrality,despotism,10,25,8,57,99.7,1.50,0.000,0.00,0,28633711,,307,Nicolas Maduro,no,0,1,16.000,37.088,4.985
BOL,Bolivia,democratic,socialism,35,25,8,32,64.8,0.80,7.171,0.66,0,12749291,,302,Luis Arce,yes,0,1,1.500,17.155,4.844
ECU,Ecuador,democratic,conservatism,45,12,10,33,130.3,0.55,17.249,2.70,0,18444506,,305,Daniel Noboa,yes,0,2,5.000,33.453,12.645
URG,Uruguay,democratic,liberalism,70,8,6,16,85.3,0.65,8.498,1.74,0,3382537,,300,Yamandu Orsi,yes,0,2,4.000,14.412,5.445
PAR,Paraguay,democratic,conservatism,50,8,12,30,49.3,0.40,9.573,0.41,0,7095279,,301,Santiago Pena,yes,0,2,8.800,15.928,5.737
CUB,Cuba,communism,marxism,5,80,3,12,107.4,1.20,12.020,0.13,0,10892659,,315,Miguel Diaz-Canel,no,0,1,1.000,24.711,2.965
DOM,Dominican Republic,democratic,conservatism,55,8,8,29,127.4,0.60,15.626,0.98,0,11609500,,319,Luis Abinader,yes,0,2,1.500,36.206,5.864
HAI,Haiti,neutrality,despotism,20,10,10,60,32.1,0.30,6.481,0.02,1,12037506,,318,Transitional Council,no,0,1,0.000,8.821,5.071
PAN,Panama,democratic,conservatism,55,8,8,29,90.5,0.55,4.339,0.00,0,4625718,,316,Jose Raul Mulino,yes,0,3,2.500,22.526,2.369
COS,Costa Rica,democratic,liberalism,70,8,5,17,102.9,0.80,13.972,0.00,0,5174789,,317,Rodrigo Chaves,yes,0,2,3.500,20.459,3.464
GUA,Guatemala,democratic,conservatism,45,10,10,35,123.3,0.30,16.270,0.42,0,18967978,,313,Bernardo Arevalo,yes,0,1,2.500,26.863,11.778
HON,Honduras,democratic,socialism,40,12,10,38,39.6,0.50,5.929,0.58,0,11184760,,312,Xiomara Castro,yes,0,2,1.200,10.055,5.275
NIC,Nicaragua,neutrality,despotism,10,20,8,62,22.2,0.55,2.799,0.11,0,7097329,,317,Daniel Ortega,no,0,1,0.800,6.507,3.219
ELS,El Salvador,democratic,populism,35,8,12,45,36.7,0.85,4.652,0.43,0,6391253,,314,Nayib Bukele,yes,0,1,1.500,8.986,1.616
ICE,Iceland,democratic,liberalism,75,5,5,15,38.6,0.65,3.291,0.00,0,402329,NATO,100,Kristrun Frostadottir,yes,0,4,2.800,7.738,1.410
LUX,Luxembourg,democratic,liberalism,72,6,6,16,101.2,0.25,3.766,0.87,0,687448,NATO,8,Luc Frieden,yes,0,4,0.500,8.979,0.235
MLT,Malta,democratic,socialism,65,8,6,21,27.8,0.50,1.483,0.11,0,549011,,116,Robert Abela,yes,0,4,0.200,2.799,0.130
CYP,Cyprus,democratic,conservatism,60,12,8,20,41.2,0.80,1.811,0.60,0,972870,,183,Nikos Christodoulides,yes,0,2,1.042,4.596,0.460
NCY,Northern Cyprus,democratic,conservatism,40,5,10,45,4,0.60,0.3,0.05,0,409464,,1087,Ersin Tatar,yes,0,3,1.042,,
UAE,United Arab Emirates,neutrality,despotism,8,2,5,85,552.3,0.30,51.773,22.76,0,11574682,,658,Mohamed bin Zayed,no,1,5,8.000,244.842,4.250
QAT,Qatar,neutrality,despotism,8,2,5,85,215.6,0.45,16.984,15.41,0,3173559,,765,Tamim bin Hamad,no,0,4,0.800,122.962,0.660
KUW,Kuwait,neutrality,despotism,15,3,5,77,157.2,0.10,12.172,7.79,0,5102773,,656,Mishal Al-Ahmad,no,0,4,0.200,85.074,0.834
OMA,Oman,neutrality,despotism,10,3,5,82,109.6,0.40,10.282,5.99,0,5671458,,294,Haitham bin Tariq,no,0,3,1.500,57.808,3.078
YEM,Yemen,neutrality,despotism,15,8,10,67,4,0.80,0.2,0.5,1,1641296,,1102,Rashad al-Alimi,no,0,1,0.200,,
HOU,Houthis,neutrality,despotism,5,10,20,65,6,0.50,0.4,1.2,1,34788608,,293,Mahdi al-Mashat,no,0,1,0.200,,
YNR,Yemeni National Resistance,neutrality,despotism,12,5,8,75,0.8,0.40,0.1,0.4,1,701483,,1116,Tareq Saleh,no,0,2,0.200,,
STC,Southern Transitional Council,neutrality,despotism,10,5,15,70,4,0.50,0.3,0.6,1,5830266,,992,Aidarus al-Zubaidi,no,0,1,0.200,,
BHR,Bahrain,neutrality,despotism,10,3,8,79,49.0,0.30,9.741,1.38,0,1675572,,765,Hamad bin Isa,no,0,4,0.100,20.179,0.118
NZL,New Zealand,democratic,liberalism,70,5,5,20,264.1,0.45,21.194,3.00,0,5287479,,284,Christopher Luxon,yes,0,4,10.000,49.827,10.277
PNG,Papua New Guinea,democratic,conservatism,45,8,8,39,32.5,0.50,0.507,0.09,0,10947848,,523,James Marape,yes,0,1,0.400,11.253,5.243
FIJ,Fiji,democratic,conservatism,50,8,8,34,6.2,0.80,0.566,0.08,0,937282,,636,Sitiveni Rabuka,yes,0,1,0.200,0.860,0.871
LIB,Liberia,democratic,conservatism,45,10,8,37,5.2,0.55,0.055,0.03,0,5853949,,298,Joseph Boakai,yes,0,1,0.000,1.287,1.713
SIE,Sierra Leone,democratic,conservatism,45,12,8,35,7.5,0.80,0.485,0.04,0,8996745,,700,Julius Maada Bio,yes,0,1,0.000,1.918,2.205
GNA,Guinea,neutrality,despotism,15,10,10,65,28.3,0.40,2.538,0.56,0,15441993,,780,Mamady Doumbouya,no,0,1,0.000,7.198,8.870
GNB,Guinea-Bissau,neutrality,despotism,20,10,10,60,2.5,0.80,0.217,0.03,0,2297808,,296,Umaro Sissoco Embalo,yes,0,1,0.000,0.398,1.027
GAM,Gambia,democratic,conservatism,50,10,8,32,2.6,0.80,0.035,0.01,0,2884079,,701,Adama Barrow,yes,0,1,0.000,0.411,0.619
MRT,Mauritania,neutrality,despotism,20,8,8,64,11.7,0.45,0.541,0.26,0,5461319,,557,Mohamed Ould Ghazouani,yes,0,1,0.000,3.474,2.330
